
"Banco de México"

"Sistemas de pago de bajo valor"
"Cuentas validadas"

"Fecha de consulta: 27/04/2025 02:50:34"

""

"Título","Total de cuentas validadas","Cuentas validadas de ABC Capital, S.A.","Cuentas validadas de Accendo Banco, S.A.","Cuentas validadas de Banco Actinver, S.A.","Cuentas validadas de Banca Afirme, S.A.","Cuentas validadas de Opciones Empresariales del Noreste, S.A. de C.V.","Cuentas validadas de Banco Autofin México, S.A.","Cuentas validadas de Banco Azteca, S.A.","Cuentas validadas de Banco del Bajío, S.A.","Cuentas validadas de Banco Nacional de México, S.A.","Cuentas validadas de Banco Ahorro Famsa, S.A.","Cuentas validadas de BanCoppel, S.A.","Cuentas validadas de Banco Bancrea, S.A.","Cuentas validadas de Banco Nacional del Ejército, Fuerza Aérea y Armada","Cuentas validadas de Bankaool, S.A.","Cuentas validadas de Banco Mercantil del Norte, S.A.","Cuentas validadas de Banco Regional S.A.","Cuentas validadas de Banco del Ahorro Nacional y Servicios Financieros, S.N.C.","Cuentas validadas de Bansi, S.A.","Cuentas validadas de Banco Base, S.A.","Cuentas validadas de BBVA Bancomer, S.A.","Cuentas validadas de Banco Monex, S.A.","Cuentas validadas de CIBanco, S.A.","Cuentas validadas de Banco Compartamos, S.A.","Cuentas validadas de Consubanco, S.A","Cuentas validadas de Fundación Dondé Banco, S.A.","Cuentas validadas de Fincomún, Servicios Financieros Comunitarios, S.A. de C.V.","Cuentas validadas de HSBC México, S.A.","Cuentas validadas de Banco Inbursa, S.A.","Cuentas validadas de Banco Inmobiliario Mexicano, S.A.","Cuentas validadas de Intercam Banco, S.A.","Cuentas validadas de Banco Invex, S.A.","Cuentas validadas de Banca Mifel, S.A.","Cuentas validadas de Banco Multiva, S.A.","Cuentas validadas de Banco Pagatodo, S.A.","Cuentas validadas de Banco Sabadell, S.A.","Cuentas validadas de Banco Santander (México), S.A.","Cuentas validadas de Scotiabank Inverlat, S.A.","Cuentas validadas de Sistema de Transferencias y Pagos STP, S.A. de C.V.","Cuentas validadas de Operadora de Pagos Móviles de México, S.A de C.V.","Cuentas validadas de Banco Ve Por Mas, S.A."
26/05/2020,9494,0,N/E,0,27,2,2,243,4,624,12,910,0,6,0,135,158,1,0,1,5652,0,0,2,0,0,-1,1119,34,0,1,0,4,0,4,1,375,170,6,0,2
27/05/2020,11850,0,N/E,0,16,1,0,233,9,565,11,800,0,10,0,119,121,0,0,0,8761,0,1,7,0,0,1,598,23,0,2,0,2,0,7,1,359,200,3,0,0
28/05/2020,13902,0,N/E,0,16,1,1,297,15,603,28,1003,0,18,0,175,140,0,0,0,10299,0,0,5,0,0,0,579,31,0,1,0,0,0,17,2,391,270,8,0,2
29/05/2020,6691,0,N/E,0,28,0,0,266,13,382,27,750,0,13,-1,144,165,0,0,0,4167,0,0,6,0,0,0,305,27,0,0,0,3,0,13,0,343,37,3,0,0
30/05/2020,5930,0,N/E,0,17,0,0,312,6,717,0,1118,0,11,0,154,124,0,0,0,2555,0,1,3,0,0,-1,280,46,0,0,0,2,0,10,0,411,164,0,0,0
31/05/2020,12918,0,N/E,0,17,0,0,282,3,543,0,960,0,10,0,139,91,0,0,0,9937,0,0,7,0,0,0,431,28,0,0,0,2,0,-2,0,347,122,0,0,1
01/06/2020,12974,0,N/E,0,9,2,2,189,12,427,23,1078,0,9,0,138,123,0,0,0,10267,0,0,6,0,0,0,327,17,0,2,0,0,0,22,0,265,54,2,0,0
02/06/2020,14932,0,N/E,0,12,3,0,254,11,551,5,986,0,16,2,136,121,0,0,0,11849,2,0,5,0,0,0,391,26,0,5,0,5,0,18,0,366,165,3,0,0
03/06/2020,17702,0,N/E,0,18,0,3,235,13,554,18,1004,0,11,1,155,133,0,0,0,14598,0,0,3,0,0,0,415,26,0,1,0,3,1,21,0,317,170,2,0,0
04/06/2020,19383,0,N/E,0,32,2,1,254,8,668,19,1065,0,19,0,110,133,0,1,1,16144,0,0,2,0,0,1,399,26,0,2,0,4,0,16,0,349,127,0,0,0
05/06/2020,19357,0,N/E,0,15,1,0,272,16,486,29,1021,1,12,2,102,132,0,0,0,16235,0,1,5,0,0,0,491,28,0,3,0,2,0,14,0,405,81,3,0,0
06/06/2020,9766,0,N/E,0,10,0,0,241,7,532,-3,991,0,10,0,109,123,0,0,0,7022,0,0,2,0,0,0,275,29,0,3,0,0,0,9,0,316,88,2,0,0
07/06/2020,11293,0,N/E,0,7,0,0,204,5,381,0,775,1,11,0,89,92,0,0,0,9127,0,0,2,0,0,0,224,21,0,1,0,0,0,3,0,240,104,5,0,1
08/06/2020,18959,0,N/E,2,9,1,0,201,9,577,21,1083,0,13,0,118,121,0,0,1,16038,0,0,4,-1,0,0,349,26,0,2,0,3,0,10,0,325,45,1,0,1
09/06/2020,18875,0,N/E,0,13,0,1,270,13,645,21,1022,0,8,0,167,101,0,0,1,15694,0,0,8,-1,0,0,410,21,0,3,0,0,0,5,0,329,142,2,0,0
10/06/2020,22302,0,N/E,1,13,0,0,278,4,662,14,943,0,6,0,122,128,0,0,0,19105,0,0,2,0,0,0,392,34,0,2,0,4,0,8,0,403,179,2,0,0
11/06/2020,18897,0,N/E,0,16,2,1,264,9,605,24,895,0,1,0,120,87,0,0,1,15854,0,1,7,0,0,1,408,24,0,2,0,3,0,11,2,372,183,3,0,1
12/06/2020,19693,0,N/E,0,6,0,1,357,13,636,12,1025,2,15,0,134,127,0,0,2,16631,0,1,5,0,0,0,408,35,0,4,0,2,0,4,0,239,34,0,0,0
13/06/2020,16493,0,N/E,0,11,0,0,282,9,572,-1,993,0,16,0,120,140,1,0,0,13533,0,0,7,0,0,0,299,35,0,1,0,2,0,1,0,325,142,5,0,0
14/06/2020,11942,0,N/E,0,9,0,0,259,3,480,-1,843,0,12,0,95,83,0,0,0,9523,0,0,6,0,0,0,229,21,0,2,0,2,0,6,0,259,112,-1,0,0
15/06/2020,21462,0,N/E,0,11,0,0,250,6,445,25,1116,0,21,0,94,128,0,0,0,18607,0,1,4,0,0,-1,369,17,0,0,0,1,0,11,0,315,36,3,0,3
16/06/2020,19771,0,N/E,0,38,0,1,301,9,626,20,1304,0,12,0,114,122,0,0,0,16139,0,1,2,0,0,1,439,47,0,3,0,3,0,7,0,419,161,2,0,0
17/06/2020,17490,0,N/E,0,16,0,0,282,15,631,33,1020,0,12,0,102,107,1,0,0,14263,0,0,7,0,0,1,334,44,0,1,0,3,0,10,0,443,160,4,0,1
18/06/2020,18969,0,N/E,0,13,1,0,352,11,599,36,1012,0,5,2,137,94,0,0,0,15715,1,2,0,0,0,1,368,27,0,0,0,0,0,12,0,407,172,2,0,0
19/06/2020,18860,0,N/E,0,15,0,0,274,13,588,24,1048,0,10,0,108,131,0,1,1,15787,1,0,7,0,0,0,320,30,0,0,0,2,0,6,0,384,107,2,0,1
20/06/2020,13511,0,N/E,0,9,0,1,298,3,543,0,992,0,8,0,97,55,0,0,0,10782,0,0,2,1,0,0,246,28,0,1,0,2,0,3,0,316,123,1,0,0
21/06/2020,10207,0,N/E,0,8,0,0,200,2,315,-2,690,1,6,0,68,52,0,0,0,8331,0,0,-1,0,0,0,226,19,0,0,0,0,0,3,0,191,95,3,0,0
22/06/2020,18082,0,N/E,0,15,2,0,294,7,548,38,958,0,18,0,97,94,0,0,0,15190,0,0,2,0,0,0,332,29,0,1,0,2,0,7,1,327,120,0,0,0
23/06/2020,15360,0,N/E,0,11,3,0,278,2,623,23,821,0,16,0,113,125,0,0,0,12571,0,0,4,0,0,0,328,32,0,0,0,1,0,11,0,289,108,1,0,0
24/06/2020,17430,0,N/E,0,7,1,0,285,13,643,28,920,0,12,1,101,98,0,0,0,14453,1,0,9,0,0,0,397,35,0,1,0,3,1,12,0,352,53,4,0,0
25/06/2020,17335,0,N/E,0,19,1,3,302,9,658,21,844,1,12,2,97,116,0,0,0,14266,1,0,4,0,0,1,396,33,0,2,0,1,0,14,1,373,155,2,0,1
26/06/2020,17812,0,N/E,0,9,1,1,321,8,534,16,934,0,13,1,134,127,0,0,1,14944,0,0,1,0,0,0,296,33,0,2,0,1,0,8,0,375,48,3,0,1
27/06/2020,13186,0,N/E,0,12,0,0,318,4,551,-2,968,2,10,0,92,110,0,0,0,10359,0,0,3,0,0,0,373,29,0,2,0,1,0,11,0,290,52,0,0,1
28/06/2020,8782,0,N/E,0,10,0,1,286,2,400,0,815,0,16,0,75,86,0,0,0,6337,0,0,6,0,0,1,398,28,0,0,0,2,0,5,0,254,54,5,0,1
29/06/2020,12221,0,N/E,1,26,2,1,170,8,412,37,1103,0,8,0,146,121,0,0,0,9822,0,1,3,0,0,-1,-75,41,0,4,0,5,0,8,0,344,30,4,0,0
30/06/2020,5443,0,N/E,0,43,3,1,201,16,421,28,1199,0,0,0,194,132,0,0,0,2014,0,0,2,1,0,-1,687,22,0,0,0,2,0,5,0,489,-19,3,0,0
01/07/2020,15075,0,N/E,0,18,2,0,142,11,680,-1518,1078,0,0,2,142,115,0,0,0,13414,2,0,7,0,0,1,507,38,0,2,0,2,0,8,0,380,38,4,0,0
02/07/2020,16335,0,N/E,0,39,0,1,482,10,613,N/E,988,2,0,0,162,104,0,0,0,12886,0,2,6,0,0,1,512,29,0,3,0,3,0,6,0,398,86,2,0,0
03/07/2020,13824,0,N/E,0,31,2,0,464,14,562,N/E,1027,1,0,2,155,163,0,0,0,10394,0,1,2,0,0,0,496,23,0,4,0,5,0,6,0,407,63,1,0,1
04/07/2020,14746,0,N/E,0,23,0,1,363,6,558,N/E,985,0,0,0,91,139,0,0,0,11854,0,0,5,0,0,0,282,29,0,3,0,0,0,4,0,282,118,1,0,2
05/07/2020,10362,0,N/E,0,14,0,0,312,5,705,N/E,719,0,0,1,13,71,0,0,0,7962,0,1,4,0,0,0,338,24,0,0,0,2,0,2,0,195,-7,1,0,0
06/07/2020,22493,0,N/E,0,27,0,2,392,8,4950,N/E,926,0,0,0,104,117,0,0,0,15140,0,2,2,-1,0,1,368,53,0,1,0,1,0,6,0,378,10,4,0,2
07/07/2020,22637,0,N/E,0,19,0,0,322,8,6899,N/E,794,0,0,0,96,108,0,0,0,13568,1,0,7,0,0,0,296,45,0,0,0,0,0,1,0,352,119,2,0,0
08/07/2020,34285,0,N/E,0,36,0,1,368,7,15828,N/E,876,0,0,1,120,128,0,0,0,16264,0,1,2,0,0,0,273,27,0,2,0,2,1,3,0,262,75,7,0,1
09/07/2020,41212,0,N/E,0,42,0,0,385,7,24679,N/E,878,0,0,0,111,111,0,0,0,14147,0,0,3,1,0,1,306,31,0,2,0,3,0,7,0,361,133,4,0,0
10/07/2020,30906,0,N/E,0,33,1,2,466,19,18586,N/E,908,0,0,1,146,137,0,0,0,9792,1,2,8,0,0,1,340,43,0,0,0,1,0,3,0,353,60,1,0,2
11/07/2020,24734,0,N/E,0,18,0,0,382,3,10280,N/E,958,0,0,0,99,117,0,0,0,12168,0,0,7,0,0,0,271,25,0,2,0,0,0,7,0,278,116,3,0,0
12/07/2020,17115,0,N/E,0,9,0,0,282,2,6359,N/E,850,0,0,0,81,75,0,0,0,8878,0,0,0,0,0,0,282,28,0,1,0,1,0,2,0,168,96,0,0,1
13/07/2020,31638,0,N/E,0,25,1,0,348,9,11603,N/E,1104,0,0,0,141,123,0,0,0,17759,1,0,4,0,0,0,134,34,0,0,0,1,0,4,0,294,49,3,0,1
14/07/2020,30271,0,N/E,0,52,1,1,399,11,10237,N/E,1026,0,0,2,137,114,0,0,0,17642,0,1,11,1,0,2,108,42,0,1,0,6,0,13,0,366,95,3,0,0
15/07/2020,29659,0,N/E,0,21,0,1,510,11,9184,N/E,1074,0,0,0,190,147,0,0,0,17817,0,2,7,0,0,0,280,47,0,2,0,4,0,10,0,293,55,4,0,0
16/07/2020,29549,0,N/E,0,46,0,1,457,14,9923,N/E,1015,0,0,0,169,133,0,0,1,16788,0,0,7,0,0,0,456,48,0,5,0,1,0,2,0,405,73,4,0,1
17/07/2020,30760,0,N/E,0,28,1,1,489,16,12861,N/E,989,0,0,0,184,132,0,0,0,15229,0,-1,4,0,0,0,313,52,0,1,0,1,0,3,0,439,14,4,0,0
18/07/2020,21967,0,N/E,0,26,0,0,355,10,9592,N/E,908,0,0,2,151,91,0,0,0,10021,0,0,2,0,0,0,267,32,0,0,0,3,0,2,0,360,142,2,0,1
19/07/2020,18390,0,N/E,0,12,0,1,352,3,8362,N/E,838,0,0,1,116,73,0,0,0,8007,0,0,4,0,0,0,240,22,0,1,0,0,0,1,0,242,110,5,0,0
20/07/2020,28432,0,N/E,0,36,2,1,417,13,10965,N/E,1113,0,0,0,252,111,0,0,0,14389,0,0,3,0,0,0,500,35,0,3,0,2,0,0,0,477,111,1,0,1
21/07/2020,26264,0,N/E,0,43,-1,2,450,4,9607,N/E,1012,0,0,0,183,116,0,0,1,13807,0,0,4,0,0,0,345,46,0,0,0,3,0,6,0,439,194,2,0,1
22/07/2020,25887,0,N/E,0,33,1,1,407,9,9268,N/E,954,0,0,0,510,116,0,0,0,13563,0,0,6,0,0,0,337,57,0,1,0,4,1,21,0,421,172,5,0,0
23/07/2020,26073,0,N/E,0,61,3,0,436,13,9098,N/E,936,0,0,-2,666,110,0,0,0,13724,0,1,6,0,0,0,377,47,0,2,0,2,0,42,0,373,175,3,0,0
24/07/2020,13938,0,N/E,0,55,2,-1,376,14,6686,N/E,832,1,0,0,550,100,0,0,0,4585,2,-1,5,0,0,1,211,39,0,0,0,2,0,25,0,354,101,-1,0,0
25/07/2020,15447,0,N/E,0,13,0,0,365,4,6045,N/E,933,0,0,0,125,90,0,0,0,7075,0,0,6,0,0,0,225,34,0,1,0,2,0,19,0,359,148,3,0,0
26/07/2020,8863,0,N/E,0,14,0,0,291,4,4556,N/E,794,0,0,0,308,65,0,0,0,2147,0,0,0,0,0,0,279,17,0,2,0,4,0,2,0,272,105,3,0,0
27/07/2020,20659,0,N/E,0,57,0,2,401,4,7027,N/E,1102,0,0,3,378,118,0,0,0,10376,0,0,2,0,0,0,557,44,0,1,0,3,0,31,0,423,126,4,0,0
28/07/2020,20361,0,N/E,0,12,2,0,383,8,6850,N/E,1022,0,0,0,467,112,0,0,0,10480,0,2,2,0,0,0,370,35,0,0,0,2,0,28,0,403,180,3,0,0
29/07/2020,21958,0,N/E,0,10,1,0,383,8,6910,N/E,1613,0,0,2,205,124,0,0,0,11820,2,5,9,0,0,1,238,53,0,2,0,3,0,20,0,390,155,4,0,0
30/07/2020,21351,0,N/E,0,41,1,2,342,15,5809,N/E,1711,0,0,3,383,145,0,0,1,12167,0,0,5,0,0,0,77,58,0,2,0,4,0,31,0,448,100,6,0,0
31/07/2020,6217,0,N/E,0,31,1,3,378,19,3838,N/E,1733,0,0,0,182,132,0,0,0,-756,1,0,5,0,0,0,210,30,0,2,0,0,0,25,0,336,43,3,0,1
01/08/2020,18816,0,N/E,0,35,0,0,321,10,4808,N/E,1646,0,0,0,207,90,0,0,1,10532,0,0,2,0,0,1,469,45,0,0,0,2,0,9,0,420,214,4,0,0
02/08/2020,15071,0,N/E,0,21,1,1,302,3,3856,N/E,1546,0,0,0,151,58,0,0,0,8399,0,0,3,0,0,0,277,36,0,0,0,1,0,-3,0,304,111,4,0,0
03/08/2020,15074,0,N/E,0,40,0,2,364,8,3994,N/E,1908,0,0,0,216,90,0,0,0,7507,0,0,5,0,0,0,498,35,0,3,0,2,1,14,0,363,18,6,0,0
04/08/2020,22095,0,N/E,0,46,1,0,342,10,5168,N/E,1684,0,0,0,146,102,0,0,0,13673,0,0,9,0,0,0,386,47,0,2,0,2,0,24,0,370,78,5,0,0
05/08/2020,23809,0,N/E,0,41,1,1,353,7,6215,N/E,1676,0,0,0,167,108,0,0,0,14111,1,3,8,0,0,0,480,46,0,5,0,1,1,19,0,438,120,6,0,1
06/08/2020,22324,0,N/E,0,24,1,0,308,18,4845,N/E,1682,2,0,1,170,105,0,0,0,13993,1,2,6,0,0,0,507,39,0,5,0,3,0,17,0,421,169,5,0,0
07/08/2020,17447,0,N/E,0,34,1,4,309,15,4632,N/E,1497,0,0,2,185,119,0,0,0,9585,0,0,9,0,0,1,461,47,0,1,0,4,0,14,0,454,67,5,0,1
08/08/2020,17100,0,N/E,0,26,0,0,303,10,4568,N/E,1606,0,0,1,155,93,0,0,1,9429,0,0,6,0,0,0,336,48,0,2,0,1,0,27,0,340,146,2,0,0
09/08/2020,13040,0,N/E,0,10,0,1,284,10,2933,N/E,1397,0,0,0,114,76,0,0,1,7572,0,0,5,0,0,0,274,21,0,2,0,2,0,5,0,217,114,2,0,0
10/08/2020,20472,0,N/E,0,30,2,0,280,14,4368,N/E,1636,0,0,-2,127,108,0,0,0,12648,0,0,8,0,0,0,772,57,0,2,0,1,0,26,0,332,60,3,0,0
11/08/2020,28313,0,N/E,0,38,1,2,305,5,4599,N/E,1684,0,0,1,162,200,0,0,0,20184,0,0,10,0,0,0,492,34,0,1,0,2,0,14,0,348,223,7,0,1
12/08/2020,22196,0,N/E,0,43,3,0,316,7,4620,N/E,1514,0,-1,0,145,254,0,0,0,14313,0,-1,3,0,0,0,385,44,0,1,0,0,2,44,8,311,178,5,0,2
13/08/2020,19140,0,N/E,0,28,1,0,308,9,4254,N/E,1520,0,-3,3,177,156,0,0,0,11786,0,1,7,0,0,0,395,41,0,1,0,5,0,23,13,338,77,0,0,0
14/08/2020,12558,0,N/E,1,36,0,0,279,18,2722,N/E,769,1,13,0,222,117,0,0,1,7653,3,0,3,0,0,0,303,35,0,7,0,1,1,43,7,256,64,3,0,0
15/08/2020,18066,0,N/E,1,29,0,1,316,6,3687,N/E,1660,0,20,0,172,131,0,0,0,10982,0,0,7,0,0,0,417,52,0,0,0,0,0,32,4,355,190,4,0,0
16/08/2020,13424,0,N/E,0,15,0,1,300,0,2846,N/E,1411,0,15,0,129,82,0,0,0,7916,0,0,4,0,0,0,299,34,0,4,0,2,0,10,0,221,125,10,0,0
17/08/2020,19118,0,N/E,0,32,0,0,283,2,3427,N/E,1571,0,10,1,166,146,0,0,0,12614,1,0,2,0,0,1,432,41,0,3,0,2,1,22,3,280,76,2,0,0
18/08/2020,21479,0,N/E,0,38,1,0,357,1,3577,N/E,1481,0,15,1,149,117,0,0,1,14622,0,0,5,0,0,0,454,41,0,3,0,3,0,32,4,362,211,4,0,0
19/08/2020,21620,0,N/E,0,47,0,1,288,2,3622,N/E,1716,1,20,7,199,110,0,0,0,14561,1,0,5,0,0,0,478,48,0,0,0,2,0,10,4,308,186,3,0,1
20/08/2020,31229,0,N/E,0,40,1,2,329,4,3981,N/E,11830,0,22,0,168,111,0,0,0,13633,0,0,8,0,0,0,570,41,0,0,0,1,1,-6,3,295,192,3,0,0
21/08/2020,39002,0,N/E,0,35,0,0,354,1,2825,N/E,20357,1,16,0,174,121,0,0,0,14213,0,0,0,0,0,0,454,36,0,1,0,2,1,21,1,370,15,4,0,0
22/08/2020,40564,0,N/E,0,26,0,0,303,2,2656,N/E,26813,0,9,0,149,90,0,0,0,9650,0,0,0,0,0,0,394,33,0,2,0,1,0,26,2,245,159,4,0,0
23/08/2020,31996,0,N/E,0,33,0,1,243,1,2002,N/E,21417,0,10,0,118,59,0,0,0,7430,0,0,4,0,0,0,295,19,0,0,0,3,0,27,3,186,140,5,0,0
24/08/2020,39331,0,N/E,0,46,0,0,263,3,3393,N/E,21114,0,7,0,135,82,0,0,0,13246,1,0,3,0,0,0,515,44,0,0,0,1,0,39,1,317,117,4,0,0
25/08/2020,31402,0,N/E,0,32,2,0,300,1,3402,N/E,12685,0,10,0,151,75,0,0,0,13779,0,0,5,0,0,2,451,0,0,1,0,3,0,28,0,303,166,5,0,1
26/08/2020,29511,0,N/E,0,45,1,0,261,1,3138,N/E,12114,-1,12,0,158,84,0,0,0,12834,2,0,5,0,0,1,305,-2,0,2,0,4,0,43,1,308,189,4,0,2
27/08/2020,29479,0,N/E,0,77,0,1,300,0,3438,N/E,10384,1,21,2,161,83,0,0,0,14151,0,0,5,0,0,-1,294,2,0,0,0,6,0,36,1,356,154,6,0,1
28/08/2020,19600,0,N/E,0,58,2,1,327,1,2433,N/E,7489,0,28,2,241,75,0,0,1,8466,2,0,3,0,0,0,107,45,0,1,0,4,0,25,1,207,79,1,0,1
29/08/2020,24008,0,N/E,0,59,1,0,332,1,2791,N/E,9123,0,31,0,192,64,0,0,0,10576,0,0,1,0,0,0,292,46,0,0,0,2,0,21,1,284,188,2,0,1
30/08/2020,19878,0,N/E,0,28,1,0,242,0,2273,N/E,7744,0,18,0,120,53,0,0,0,8514,0,0,4,0,0,0,485,30,0,0,0,0,0,9,1,214,141,1,0,0
31/08/2020,11830,0,N/E,0,63,3,2,197,3,1360,N/E,6060,0,35,0,144,72,0,0,1,3236,0,0,2,0,0,1,210,38,0,0,0,5,0,54,3,293,42,6,0,0
01/09/2020,21424,0,N/E,0,43,2,0,304,-6,3789,N/E,8396,0,27,0,178,68,0,0,0,8133,0,0,5,0,0,2,174,48,0,1,0,6,0,51,2,159,36,5,0,1
02/09/2020,25256,0,N/E,0,50,1,0,297,-3,3065,N/E,7494,2,18,1,180,76,0,0,1,13119,0,0,6,0,0,0,414,44,0,1,0,3,0,25,0,361,95,4,0,2
03/09/2020,25148,0,N/E,0,45,1,1,289,1,3348,N/E,6732,0,17,0,183,79,0,0,0,13690,0,0,6,0,0,0,277,40,0,2,0,5,0,-13,0,342,95,8,0,0
