
"Banco de México"

"Sistemas de pago de bajo valor"
"Apps móviles de los participantes enrolados en CoDi"

"Fecha de consulta: 27/04/2025 02:51:55"

""

"Título","Total de dispositivos Android enrolados","Dispositivos Android enrolados del Banco de México","Dispositivos Android enrolados de las instituciones financieras","Dispositivos Android enrolados de Accendo Banco, S.A.","Dispositivos Android enrolados de Banco Actinver, S.A.","Dispositivos Android enrolados de Opciones Empresariales del Noreste, S.A. de C.V.","Dispositivos Android enrolados de Banco Autofin México, S.A.","Dispositivos Android enrolados de Banco Azteca, S.A.","Dispositivos Android enrolados de Banco del Bajío, S.A.","Dispositivos Android enrolados de Banco Nacional de México, S.A.","Dispositivos Android enrolados de Banca Afirme, S.A.","Dispositivos Android enrolados de Banco Ahorro Famsa, S.A.","Dispositivos Android enrolados de BanCoppel, S.A.","Dispositivos Android enrolados de Banco Bancrea, S.A.","Dispositivos Android enrolados de Banco Nacional del Ejército, Fuerza Aérea y Armada","Dispositivos Android enrolados de Bankaool, S.A.","Dispositivos Android enrolados de Banco Mercantil del Norte, S.A.","Dispositivos Android enrolados de Banco Regional S.A.","Dispositivos Android enrolados de Bansi, S.A.","Dispositivos Android enrolados de Banco Base, S.A.","Dispositivos Android enrolados de BBVA Bancomer, S.A.","Dispositivos Android enrolados de Banco Monex, S.A.","Dispositivos Android enrolados de CIBanco, S.A.","Dispositivos Android enrolados de Banco Compartamos, S.A.","Dispositivos Android enrolados de Consubanco, S.A.","Dispositivos Android enrolados de Fincomún, Servicios Financieros Comunitarios, S.A. de C.V.","Dispositivos Android enrolados de Hey Banco, S.A.","Dispositivos Android enrolados de HSBC México, S.A.","Dispositivos Android enrolados de Banco Inbursa, S.A.","Dispositivos Android enrolados de Banco Inmobiliario Mexicano, S.A.","Dispositivos Android enrolados de Intercam Banco, S.A.","Dispositivos Android enrolados de Banca Mifel, S.A.","Dispositivos Android enrolados de Banco Multiva, S.A.","Dispositivos Android enrolados de Banco Pagatodo, S.A.","Dispositivos Android enrolados de Banco Sabadell, S.A.","Dispositivos Android enrolados de Banco Santander (México), S.A.","Dispositivos Android enrolados de Scotiabank Inverlat, S.A.","Dispositivos Android enrolados de Sistema de Transferencias y Pagos STP, S.A. de C.V.","Dispositivos Android enrolados de Operadora de Pagos Móviles de México, S.A. de C.V.","Dispositivos Android enrolados de Banco Ve Por Mas, S.A.","Dispositivos Android enrolados de los terceros desarrolladores","Dispositivos Android enrolados de Kimerkia, S.A. de C.V.","Dispositivos Android enrolados de Quetzalcóatl Sistemas, S.A. de C.V.","Dispositivos Android enrolados de National Soft de México de R.L. de C.V.","Dispositivos Android enrolados de WISECAP, S.A. de C.V.","Total de dispositivos iOS enrolados","Dispositivos iOS enrolados del Banco de México","Dispositivos iOS enrolados de las instituciones financieras","Dispositivos iOS enrolados de Banco Actinver, S.A.","Dispositivos iOS enrolados de Opciones Empresariales del Noreste, S.A. de C.V.","Dispositivos iOS enrolados de Banco Autofin México, S.A.","Dispositivos iOS enrolados de Banco Azteca, S.A.","Dispositivos iOS enrolados de Banco del Bajío, S.A.","Dispositivos iOS enrolados de Banco Nacional de México, S.A.","Dispositivos iOS enrolados de Banca Afirme, S.A.","Dispositivos iOS enrolados de Banco Ahorro Famsa, S.A.","Dispositivos iOS enrolados de BanCoppel, S.A.","Dispositivos iOS enrolados de Banco Bancrea, S.A.","Dispositivos iOS enrolados de Bankaool, S.A.","Dispositivos iOS enrolados de Banco Mercantil del Norte, S.A.","Dispositivos iOS enrolados de Banco Regional S.A.","Dispositivos iOS enrolados de Bansi, S.A.","Dispositivos iOS enrolados de Banco Base, S.A.","Dispositivos iOS enrolados de BBVA Bancomer, S.A.","Dispositivos iOS enrolados de Banco Monex, S.A.","Dispositivos iOS enrolados de CIBanco, S.A.","Dispositivos iOS enrolados de Banco Compartamos, S.A.","Dispositivos iOS enrolados de Consubanco, S.A.","Dispositivos iOS enrolados de Fincomún, Servicios Financieros Comunitarios, S.A. de C.V.","Dispositivos iOS enrolados de Hey Banco, S.A.","Dispositivos iOS enrolados de HSBC México, S.A.","Dispositivos iOS enrolados de Banco Inbursa, S.A.","Dispositivos iOS enrolados de Banco Inmobiliario Mexicano, S.A.","Dispositivos iOS enrolados de Intercam Banco, S.A.","Dispositivos iOS enrolados de Banca Mifel, S.A.","Dispositivos iOS enrolados de Banco Multiva, S.A.","Dispositivos iOS enrolados de Banco Pagatodo, S.A.","Dispositivos iOS enrolados de Banco Sabadell, S.A.","Dispositivos iOS enrolados de Banco Santander (México), S.A.","Dispositivos iOS enrolados de Scotiabank Inverlat, S.A.","Dispositivos iOS enrolados de Sistema de Transferencias y Pagos STP, S.A. de C.V.","Dispositivos iOS enrolados de Operadora de Pagos Móviles de México, S.A. de C.V.","Dispositivos iOS enrolados de Banco Ve Por Mas, S.A.","Dispositivos iOS enrolados de los terceros desarrolladores","Dispositivos iOS enrolados de Kimerkia, S.A. de C.V.","Dispositivos iOS enrolados de WISECAP, S.A. de C.V."
12/11/2019,852648,39766,812882,N/E,124,329,0,19261,2800,120078,1231,8,29841,11,16360,58,21692,7292,0,69,528222,80,36,3184,7,217,N/E,2442,4807,N/E,530,692,30,2335,0,11450,16972,9,22504,211,0,N/E,N/E,N/E,N/E,274706,22306,252400,103,0,0,4169,1933,51950,291,0,0,20,0,14361,4821,17,57,139787,141,26,568,10,43,N/E,0,2864,N/E,542,497,0,206,0,6538,21439,12,1776,229,0,N/E,N/E
13/11/2019,869197,39905,829292,N/E,125,330,0,19654,2824,121670,1243,8,30276,11,16536,58,22007,7351,0,70,540541,80,55,3214,7,217,N/E,2664,4873,N/E,532,698,30,2345,0,11633,17168,9,22847,216,0,N/E,N/E,N/E,N/E,283150,22375,260775,103,0,0,4242,1945,52505,294,0,0,20,0,14541,4861,17,58,146747,141,34,575,10,43,N/E,0,2898,N/E,546,503,0,211,0,6741,21667,12,1831,230,0,N/E,N/E
14/11/2019,885713,40043,845670,N/E,125,332,0,20000,2857,123566,1264,8,30749,11,16743,60,22442,7456,0,71,552253,80,76,3260,7,218,N/E,2914,4939,N/E,535,704,30,2359,0,11862,17375,9,23148,217,0,N/E,N/E,N/E,N/E,291600,22461,269139,103,0,0,4308,1968,53149,301,0,0,20,0,14783,4909,17,59,153553,142,56,579,10,43,N/E,0,2931,N/E,548,505,0,214,0,6933,21884,12,1880,232,0,N/E,N/E
15/11/2019,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
16/11/2019,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
17/11/2019,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
18/11/2019,923347,40400,882947,N/E,125,335,0,21191,2920,127715,1315,8,32389,11,17223,62,23525,7605,2,72,577687,81,95,3366,8,218,N/E,3419,5084,N/E,538,714,31,2382,0,12411,17934,9,24253,219,0,N/E,N/E,N/E,N/E,310522,22719,287803,103,0,0,4534,2025,54697,308,0,0,20,0,15369,4999,17,62,168376,145,63,586,10,43,N/E,3,3018,N/E,551,509,0,225,0,7482,22398,12,2014,234,0,N/E,N/E
19/11/2019,936349,40535,895814,N/E,125,335,1,21571,2948,129239,1335,9,32877,12,17328,62,23842,7682,2,73,586624,81,102,3403,8,220,N/E,3557,5128,N/E,540,719,31,2385,0,12608,18116,9,24622,220,0,N/E,N/E,N/E,N/E,316756,22792,293964,103,0,0,4607,2036,55302,316,1,0,20,0,15553,5029,17,62,173157,145,67,596,11,43,N/E,3,3046,N/E,551,514,0,230,0,7658,22589,12,2062,234,0,N/E,N/E
20/11/2019,947558,41012,906546,N/E,125,336,1,21894,2971,130652,1367,10,33283,12,17475,62,24132,7738,2,74,593736,81,107,3436,8,218,N/E,3682,5178,N/E,540,718,31,2391,0,12853,18288,9,24912,224,0,N/E,N/E,N/E,N/E,321944,23054,298890,105,0,0,4667,2050,55795,318,4,0,20,0,15694,5047,17,62,176911,147,71,595,11,42,N/E,4,3064,N/E,555,517,0,234,0,7856,22757,12,2093,242,0,N/E,N/E
21/11/2019,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
22/11/2019,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
23/11/2019,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
24/11/2019,983234,41549,941685,N/E,125,421,3,23118,3042,135203,1460,10,34826,15,17788,63,25065,7941,13,75,616493,81,120,3558,8,217,N/E,4146,5326,N/E,546,728,32,2408,9,13652,18861,9,26096,227,0,N/E,N/E,N/E,N/E,338284,23413,314871,109,0,0,4909,2103,57439,334,11,0,22,0,16268,5168,18,62,188744,147,92,608,13,44,N/E,4,3141,N/E,560,524,0,242,0,8492,23313,12,2247,245,0,N/E,N/E
25/11/2019,994796,41715,953081,N/E,125,422,3,23478,3053,136358,1470,12,35270,15,17872,63,25318,8001,15,75,624378,81,122,3586,8,217,N/E,4584,5369,N/E,553,732,33,2409,21,13864,19023,9,26312,230,0,N/E,N/E,N/E,N/E,343305,23515,319790,109,0,0,4989,2099,57900,337,14,0,22,0,16434,5202,18,65,192432,149,100,613,17,46,N/E,4,3160,N/E,560,530,0,245,0,8687,23491,12,2308,247,0,N/E,N/E
26/11/2019,1005898,41859,964039,N/E,126,423,5,23841,3056,137486,1484,12,35681,15,17960,64,25563,8043,15,76,631727,82,126,3624,9,222,N/E,5137,5406,N/E,554,735,33,2414,26,14075,19188,9,26592,230,0,N/E,N/E,N/E,N/E,347850,23606,324244,110,0,0,5066,2093,58376,340,18,0,22,0,16563,5235,19,65,195694,149,105,616,21,48,N/E,8,3180,N/E,563,532,0,248,0,8870,23684,12,2357,250,0,N/E,N/E
